図書名,ジャンル,出版社,著者,追加日,貸し出た人のメールアドレス,貸し出し回数,残り冊数
企業論のすべて,社会,日本文化社,山野辺一郎,,,1,0,2
政治の在り方,社会,日本文化社,川上達也,20240528154516,,2,0,0
未来のジェンダー論,社会,日本文化社,鈴木由美子,,,0,1,0
あるべき指導者の姿,社会,文芸社,牧野健,,,0,1,0
株の賢い運用方法,社会,文芸社,迫田正樹,,,0,1,0
外交の論点,社会,文芸社,本田翔,,,0,1,0
常識,社会,文芸社,正木智一,,,0,1,0
未来のAIが及ぼす影響,社会,文芸社,元木大智,,,1,1,0
私の哲学,社会,文芸社,高橋譲,,,0,1,0
SNSとの付き合い方,社会,文芸社,河野勝,,,0,1,0
湯煙殺人事件,ミステリー,東山堂,秦春人,,,2,1,0
真相をお話しします,ミステリー,東山堂,阿部亮,,,0,1,0
捜査二課長,ミステリー,東山堂,木下亜美,,,1,1,0
名探偵のルール,ミステリー,夕日出版社,細田英二,,,3,1,0
箱とキツネと、リンゴ,ミステリー,夕日出版社,馬場連,,,7,1,0
蜂の住処,ミステリー,夕日出版社,岡本悠馬,,,0,1,0
偽り,ミステリー,夕日出版社,神田誠一,,,0,1,0
真夜中のレプリカたち,ミステリー,山川書店,出井竜馬,,,5,1,0
月の雫,ミステリー,山川書店,石井昭,,,1,1,0
迷宮,ミステリー,山川書店,近藤穂香,,,1,1,0
春の音,ファンタジー,公立出版,工藤仁,,,0,1,0
約束の星,ファンタジー,公立出版,渡辺聡,,,5,1,0
遠くの星から来たりしもの,ファンタジー,公立出版,吉田直樹,,,1,1,0
遥かなる空,ファンタジー,公立出版,内田太一,,,4,1,0
君宛,ファンタジー,海雲社,三戸部さくら,,,0,1,0
冷たい魔法,ファンタジー,海雲社,園部朱莉,,,0,1,0
未来を追うもの,ファンタジー,海雲社,佐々木祈里,,,0,1,0
優しい悪魔,ファンタジー,海雲社,加藤斗真,,,5,1,0
幻想の訪ね人,ファンタジー,丸川社,菊池淳,,,5,1,0
竜の剣,ファンタジー,丸川社,江原誠,,,1,1,0
これが私,エッセイ,令文社,鈴木七恵,,,0,1,0
パイナップルの缶詰,エッセイ,令文社,服部加奈,,,1,1,0
斜めの視方,エッセイ,令文社,篠原京子,,,0,1,0
一汁一菜で十分,エッセイ,令文社,原田幸太郎,,,0,1,0
ぼくはレッドで、ブラックで、ちょっとブルー,エッセイ,黒泉社,田辺風馬,,,0,1,0
ゆとりのある人生,エッセイ,黒泉社,長野進,,,4,1,0
はすむかいの脳世界,エッセイ,黒泉社,三浦寛太,,,9,1,0
考えすぎちゃう,エッセイ,黒泉社,坂本海斗,,,5,1,0
日々、晴れ晴れ,エッセイ,黒泉社,豊島玲,,,1,1,0
うちの猫が可愛すぎる,エッセイ,黒泉社,長谷川由紀,,,0,1,0
日本古代史,歴史,西江堂,綾部千秋,,,5,1,0
国道16号線_日本の始まりの道,歴史,西江堂,高坂真央,,,0,1,0
天皇とは何か,歴史,西江堂,財前光,,,2,1,0
イタリア古寺巡礼,歴史,木波書店,相川詩織,,,0,1,0
ハワイ聖地巡礼,歴史,木波書店,折川博人,,,4,1,0
中世ヨーロッパにおける階級制度,歴史,木波書店,中原壮太,,,2,1,0
歴史から学ぶ失敗談,歴史,幻秋舎,菅原幸喜,,,5,1,0
読むだけでスッキリわかる日本史,歴史,幻秋舎,瀬戸凛,,,0,1,0
歴史探偵ロマン,歴史,幻秋舎,小笠原元樹,,,0,1,0
一冊でわかるアメリカの歴史,歴史,幻秋舎,高原穂積,,,0,1,0
真実,ノンフィクション,桜英社,葉山徹,,,1,1,0
私の道,ノンフィクション,桜英社,手塚元,,,0,1,0
こうして私は大統領になった,ノンフィクション,桜英社,小野大和,,,0,1,0
8つの習慣,ノンフィクション,桜英社,野口圭太,,,0,1,0
マリー先生との火曜日,ノンフィクション,大和社,木田義治,,,3,1,0
二平方メートルの世界で,ノンフィクション,大和社,登坂小太郎,,,0,1,0
窓際のコッコちゃん,ノンフィクション,大和社,浦部和樹,,,1,1,0
私から見える世界,ノンフィクション,大和社,千田瑞樹,,,0,1,0
マイストーリーズ,ノンフィクション,大和社,今野道治,,,0,1,0
クライシス,ノンフィクション,大和社,水野瑛人,,,4,1,0
